proto,ts,srcIP,srcPrt,dstIP,dstPrt,flowduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fipt,total_bipt,min_fipt,min_bipt,max_fipt,max_bipt,mean_fipt,mean_bipt,std_fipt,std_bipt,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowBytesPerSecond,mean_flowpktl,std_flowpktl,mean_flowipt,std_flowipt,flow_fin,flow_syn,flow_rst,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,label,Ataque
TCP,1746826924,147.189.138.33,61853,216.238.92.208,5060,0.120399,6,4,690,599,54,66,376,393,115,149.75,128.0984,162.210511,0.120399,0.060441,0,0.000058,0.060239,0.060012,0.02408,0.020147,0.03289,0.034524,1,1,0,0,176,136,49.834301,33.222866,10706.06934,128.9,134.940689,0.013437,0.026461,2,2,2,7,0,0,0,0.868116,1,10
TCP,1746831572,154.205.155.182,63496,216.238.92.208,5060,0.150053,6,4,648,557,54,54,366,383,108,139.25,126.484782,162.598432,0.150053,0.077344,0.000057,0.000055,0.076547,0.077096,0.030011,0.025781,0.040794,0.04444,1,1,0,0,132,92,39.985867,26.657244,8030.494629,120.5,134.019272,0.016709,0.032877,2,2,2,8,0,1,1,0.859568,1,10
TCP,1746840014,154.205.155.182,62832,216.238.92.208,5060,0.156909,6,4,646,556,54,54,364,382,107.666664,139,125.668879,162.098735,0.156909,0.078743,0.000046,0.00004,0.078217,0.078548,0.031382,0.026248,0.042725,0.045293,1,1,0,0,132,92,38.238728,25.492485,7660.491699,120.2,133.394821,0.017464,0.034425,2,2,2,8,0,1,1,0.860681,1,10
TCP,1746841468,185.244.36.150,40957,216.238.92.208,5060,31.866882,1,6,54,348,54,58,54,58,54,58,0,0,0,31.866852,0,1.01884,0,16.384014,0,6.37337,0,6.267321,0,0,0,0,20,144,0.031381,0.188283,12.614978,57.428571,1.511858,5.311147,6.180078,0,7,0,6,0,0,0,6.444445,1,10
UDP,1746824830,185.243.5.109,5096,216.238.92.208,5060,0.228908,3,3,1627,1649,453,478,717,586,542.333313,549.666687,151.278991,62.067169,0.228623,0.22851,0.101012,0.101236,0.127611,0.127274,0.114311,0.114255,0.018808,0.018412,0,0,0,0,1525,1547,13.105699,13.105699,14311.42285,546,103.494926,0.045986,0.063078,0,0,0,0,0,0,0,1.013522,1,10
UDP,1746824835,189.182.44.235,54988,216.238.92.208,5060,22919.55938,2258,538,512181,276627,44,481,869,615,226.829498,514.176575,330.288488,50.814781,22919.55939,22859.9993,0.015096,0.022526,14.767209,60.05838,10.154878,42.569832,4.350898,23.898293,0,0,0,0,435409,258335,0.098518,0.023473,34.416367,282.120172,318.470215,9.084924,4.868847,0,0,0,0,0,0,0,0.540096,0,0
UDP,1746824837,200.23.110.56,61290,216.238.92.208,5060,22909.25474,2258,538,511980,275810,44,479,870,615,226.740479,512.65802,330.095951,51.512958,22909.25474,22877.93519,0.008843,0.030634,14.067849,60.036674,10.150311,42.60323,4.330249,23.786674,0,0,0,0,435208,257518,0.098563,0.023484,34.387413,281.75608,318.130371,9.063151,4.858373,0,0,0,0,0,0,0,0.538712,1,10
UDP,1746824838,5.39.53.85,65356,216.238.92.208,5060,0.149139,2,2,1044,1046,392,522,652,524,522,523,183.847763,1.414214,0.148463,0.148644,0.148463,0.148644,0.148463,0.148644,0.148463,0.148644,0,0,0,0,0,0,976,978,13.410315,13.410315,14013.7793,522.5,106.149269,0.049878,0.085377,0,0,0,0,0,0,0,1.001916,1,10
UDP,1746824849,193.46.255.217,5077,216.238.92.208,5060,9.77107,4,4,3097,2735,496,459,1069,938,774.25,683.75,235.233749,196.725486,9.77107,9.616107,0.000863,0.001495,9.615532,9.458933,3.257023,3.205369,5.507167,5.416294,0,0,0,0,2961,2599,0.409372,0.409372,596.864014,729,206.497314,2.747504,4.638828,0,0,0,0,0,0,0,0.883113,1,10
UDP,1746824888,5.39.53.85,62601,216.238.92.208,5060,0.770532,6,6,3661,3146,394,523,654,525,610.166687,524.333313,105.900739,1.032796,0.769772,0.769992,0.147842,0.147729,0.162337,0.162546,0.153954,0.153998,0.00568,0.005748,0,0,0,0,3457,2942,7.786829,7.786829,8834.157227,567.25,84.305855,0.070297,0.080177,0,0,0,0,0,0,0,0.859328,1,10
UDP,1746824891,87.246.54.110,5060,216.238.92.208,5060,503.645368,33,69,26008,45269,508,456,1063,935,788.121216,656.072449,211.75144,106.834715,503.645361,503.469482,0.000001,0.001505,126.20417,88.954895,15.738917,7.403963,37.173576,17.956768,0,0,0,0,24886,42923,0.065522,0.137001,141.522202,698.794118,160.451675,6.70364,21.71241,0,0,0,0,0,0,0,1.74058,1,10
UDP,1746824945,5.39.53.85,54997,216.238.92.208,5060,0.779262,6,6,3654,3142,393,522,653,524,609,523.666687,105.818713,0.816497,0.778776,0.778908,0.152366,0.152439,0.160639,0.160747,0.155755,0.155782,0.003415,0.003453,0,0,0,0,3450,2938,7.699592,7.699592,8721.071289,566.333333,84.119324,0.070996,0.081179,0,0,0,0,0,0,0,0.85988,1,10
UDP,1746824966,5.39.53.85,51334,216.238.92.208,5060,0.766912,6,6,3635,3120,390,519,650,521,605.833313,520,105.738199,1.095445,0.766414,0.766524,0.140856,0.140976,0.159281,0.159438,0.153283,0.153305,0.007185,0.00716,0,0,0,0,3431,2916,7.823584,7.823584,8808.050781,562.916667,84.213432,0.069949,0.079915,0,0,0,0,0,0,0,0.858322,1,10
UDP,1746824968,216.244.87.82,62350,216.238.92.208,5060,0.950541,11,6,7937,3216,386,535,1047,537,721.545471,536,329.89282,1.095445,0.950201,0.950164,0.000299,0.143405,0.25545,0.255826,0.09502,0.190033,0.104255,0.045643,0,0,0,0,7563,3012,11.572357,6.312195,11733.31836,656.058824,276.355408,0.05954,0.093592,0,0,0,0,0,0,0,0.405191,1,10
UDP,1746824987,5.39.53.85,62470,216.238.92.208,5060,1.342177,6,6,3634,3120,390,517,650,521,605.666687,520,105.659202,1.67332,1.341531,1.341791,0.15604,0.156058,0.517076,0.517074,0.268306,0.268358,0.163742,0.163702,0,0,0,0,3430,2916,4.470349,4.470349,5032.122559,562.833333,84.126343,0.122245,0.174013,0,0,0,0,0,0,0,0.858558,1,10
UDP,1746825009,5.39.53.85,54350,216.238.92.208,5060,1.281765,6,6,3652,3136,392,522,653,524,608.666687,522.666687,106.14644,1.032796,1.281185,1.281242,0.146573,0.146881,0.671391,0.671329,0.256237,0.256248,0.232113,0.232069,0,0,0,0,3448,2932,4.681046,4.681046,5295.822754,565.666667,84.492424,0.116775,0.198442,0,0,0,0,0,0,0,0.858708,1,10
UDP,1746825022,193.46.255.217,46591,216.238.92.208,5060,9.772679,4,4,3075,2727,491,457,1063,936,768.75,681.75,234.950172,196.725486,9.772679,9.617134,0.00083,0.001534,9.616494,9.459543,3.25756,3.205711,5.507541,5.416528,0,0,0,0,2939,2591,0.409304,0.409304,593.695984,725.25,205.928391,2.747805,4.639164,0,0,0,0,0,0,0,0.886829,1,10
UDP,1746825033,5.39.53.85,63503,216.238.92.208,5060,1.040356,6,6,3653,3138,392,522,653,524,608.833313,523,106.22696,1.095445,1.0396,1.039759,0.148816,0.148725,0.398373,0.398456,0.20792,0.207952,0.106813,0.106844,0,0,0,0,3449,2934,5.767256,5.767256,6527.572266,565.916667,84.492561,0.094839,0.127614,0,0,0,0,0,0,0,0.85902,1,10
UDP,1746825051,5.39.53.85,58360,216.238.92.208,5060,0.780683,6,6,3647,3134,392,521,652,523,607.833313,522.333313,105.738199,1.032796,0.780106,0.780286,0.155223,0.155354,0.158416,0.158353,0.156021,0.156057,0.001344,0.001289,0,0,0,0,3443,2930,7.685577,7.685577,8685.983398,565.083333,84.120537,0.071215,0.081201,0,0,0,0,0,0,0,0.859336,1,10
UDP,1746825068,5.39.53.85,53397,216.238.92.208,5060,1.072634,6,6,3633,3118,389,519,650,521,605.5,519.666687,106.065546,1.032796,1.072204,1.072105,0.151619,0.151596,0.435945,0.435991,0.214441,0.214421,0.12412,0.124157,0,0,0,0,3429,2914,5.593707,5.593707,6293.852539,562.583333,84.399971,0.097756,0.13654,0,0,0,0,0,0,0,0.858244,1,10
UDP,1746825083,193.46.255.217,5072,216.238.92.208,5060,0.310211,4,2,3085,1184,493,501,1066,683,771.25,592,235.314506,128.693434,0.310211,0.15566,0.001081,0.15566,0.154599,0.15566,0.103404,0.15566,0.088614,0,0,0,0,0,2949,1116,12.894452,6.447226,13761.60352,711.5,212.377731,0.062214,0.084305,0,0,0,0,0,0,0,0.383793,1,10
UDP,1746825097,5.39.53.85,65014,216.238.92.208,5060,0.000527,1,1,391,522,391,522,391,522,391,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,488,1897.875122,1897.875122,1732760,456.5,92.630989,0.000527,0,0,0,0,0,0,0,0,1.335038,1,10
UDP,1746825132,5.39.53.85,61303,216.238.92.208,5060,0.79101,6,6,3658,3142,394,523,654,525,609.666687,523.666687,105.657309,1.032796,0.790372,0.790551,0.152996,0.152934,0.166254,0.166458,0.158074,0.15811,0.005038,0.005113,0,0,0,0,3454,2938,7.58524,7.58524,8596.605469,566.666667,84.213295,0.072149,0.082329,0,0,0,0,0,0,0,0.858939,1,10
UDP,1746825146,193.46.255.217,5089,216.238.92.208,5060,9.779414,4,4,3097,2735,496,459,1069,938,774.25,683.75,235.233749,196.725486,9.779414,9.620022,0.000847,0.001453,9.6194,9.458712,3.259805,3.206674,5.50814,5.415003,0,0,0,0,2961,2599,0.409022,0.409022,596.354736,729,206.497314,2.748639,4.63933,0,0,0,0,0,0,0,0.883113,1,10
UDP,1746825157,5.39.53.85,59376,216.238.92.208,5060,0.774813,6,6,3633,3118,389,519,650,521,605.5,519.666687,106.065546,1.032796,0.774199,0.774322,0.150659,0.150849,0.157294,0.157257,0.15484,0.154864,0.002696,0.002602,0,0,0,0,3429,2914,7.743804,7.743804,8713.071289,562.583333,84.399971,0.070737,0.080541,0,0,0,0,0,0,0,0.858244,1,10
UDP,1746825171,185.243.5.109,5091,216.238.92.208,5060,15.209308,11,10,6358,5789,44,417,1120,922,578,578.900024,283.66036,137.554393,15.208758,15.208759,0.000148,0.00044,8.93388,9.459699,1.520876,1.689862,2.929252,3.253364,0,0,0,0,5984,5449,0.723241,0.657492,798.65564,578.428571,220.785767,0.787115,2.155078,0,0,0,0,0,0,0,0.910506,1,10
UDP,1746825177,5.39.53.85,57271,216.238.92.208,5060,0.780581,6,6,3646,3132,391,521,652,523,607.666687,522,106.14644,1.095445,0.780072,0.780182,0.152145,0.15218,0.162152,0.162104,0.156014,0.156036,0.004229,0.004221,0,0,0,0,3442,2928,7.686582,7.686582,8683.275391,564.833333,84.400375,0.071171,0.081276,0,0,0,0,0,0,0,0.859024,1,10
UDP,1746825196,5.39.53.85,50903,216.238.92.208,5060,0.157555,2,2,1045,1048,393,524,652,524,522.5,524,183.140656,0,0.15697,0.157096,0.15697,0.157096,0.15697,0.157096,0.15697,0.157096,0,0,0,0,0,0,977,980,12.693991,12.693991,13284.26172,523.25,105.739853,0.052671,0.090325,0,0,0,0,0,0,0,1.002871,1,10
