proto,ts,srcIP,srcPrt,dstIP,dstPrt,flowduration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fipt,total_bipt,min_fipt,min_bipt,max_fipt,max_bipt,mean_fipt,mean_bipt,std_fipt,std_bipt,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowBytesPerSecond,mean_flowpktl,std_flowpktl,mean_flowipt,std_flowipt,flow_fin,flow_syn,flow_rst,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,label,Ataque
UDP,1746381777,5.39.20.184,60003,216.238.92.208,5060,0.781354,6,6,3631,3134,389,521,649,523,605.166687,522.333313,105.900739,1.032796,0.780854,0.780763,0.150787,0.150723,0.162116,0.162168,0.156171,0.156153,0.004057,0.004097,0,0,0,0,3427,2930,7.678978,7.678978,8658.047852,563.75,83.483398,0.071287,0.08131,0,0,0,0,0,0,0,0.863123,1,1
UDP,1746381800,5.39.20.184,56703,216.238.92.208,5060,0.779631,6,6,3624,3126,389,519,649,523,604,521,105.337553,1.788854,0.779386,0.779203,0.154186,0.15426,0.156738,0.156572,0.155877,0.155841,0.000983,0.000922,0,0,0,0,3420,2922,7.695947,7.695947,8657.94043,562.5,83.21003,0.071054,0.081215,0,0,0,0,0,0,0,0.862583,1,1
UDP,1746381823,91.121.63.97,63317,216.238.92.208,5060,0.00051,1,1,666,543,666,543,666,543,666,543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,632,509,1960.87146,1960.87146,2370693.5,604.5,86.974136,0.00051,0,0,0,0,0,0,0,0,0.815315,1,1
UDP,1746381824,5.39.20.184,53663,216.238.92.208,5060,0.781596,6,6,3611,3116,387,518,646,520,601.833313,519.333313,105.249069,1.032796,0.781263,0.781104,0.155638,0.155436,0.156908,0.156968,0.156253,0.156221,0.000599,0.000673,0,0,0,0,3407,2912,7.676601,7.676601,8606.749023,560.583333,83.017471,0.071274,0.081361,0,0,0,0,0,0,0,0.862919,1,1
UDP,1746381849,5.39.20.184,51219,216.238.92.208,5060,0.779288,6,6,3623,3126,389,520,648,522,603.833313,521,105.249069,1.095445,0.778776,0.778852,0.153789,0.153744,0.156317,0.156398,0.155755,0.15577,0.001101,0.001139,0,0,0,0,3419,2922,7.699335,7.699335,8660.46875,562.416667,83.108322,0.07104,0.081111,0,0,0,0,0,0,0,0.862821,1,1
UDP,1746381873,5.39.20.184,64535,216.238.92.208,5060,0.790332,6,6,3638,3142,391,522,650,524,606.333313,523.666687,105.494393,0.816497,0.790047,0.789903,0.155071,0.155049,0.167165,0.167179,0.158009,0.157981,0.005156,0.005179,0,0,0,0,3434,2938,7.591745,7.591745,8578.672852,565,83.202927,0.072011,0.082402,0,0,0,0,0,0,0,0.863661,1,1
UDP,1746381897,5.39.20.184,61137,216.238.92.208,5060,0.779703,6,6,3630,3132,389,521,649,523,605,522,105.820603,1.095445,0.77925,0.77932,0.154503,0.154668,0.156258,0.156248,0.15585,0.155864,0.000756,0.000671,0,0,0,0,3426,2928,7.695239,7.695239,8672.53418,563.5,83.482712,0.071122,0.081123,0,0,0,0,0,0,0,0.86281,1,1
UDP,1746381921,5.39.20.184,58170,216.238.92.208,5060,0.779556,6,6,3634,3138,390,522,650,524,605.666687,523,105.661095,1.095445,0.778905,0.779024,0.154704,0.154692,0.156316,0.156628,0.155781,0.155805,0.000685,0.00071,0,0,0,0,3430,2934,7.696689,7.696689,8686.996094,564.333333,83.300476,0.071107,0.08107,0,0,0,0,0,0,0,0.863511,1,1
UDP,1746381945,5.39.20.184,54920,216.238.92.208,5060,0.776885,6,6,3621,3122,388,518,648,522,603.5,520.333313,105.577933,1.505545,0.77651,0.776465,0.15203,0.152189,0.156348,0.156673,0.155302,0.155293,0.001843,0.001783,0,0,0,0,3417,2918,7.72315,7.72315,8679.53418,561.916667,83.391151,0.070856,0.080859,0,0,0,0,0,0,0,0.862193,1,1
UDP,1746381970,5.39.20.184,52012,216.238.92.208,5060,0.779985,6,6,3627,3130,390,519,648,523,604.5,521.666687,105.086155,1.632993,0.779593,0.779609,0.154705,0.154655,0.156507,0.156465,0.155919,0.155922,0.000748,0.000756,0,0,0,0,3423,2926,7.692454,7.692454,8662.985352,563.083333,83.01857,0.071073,0.081235,0,0,0,0,0,0,0,0.862972,1,1
